id;name;show;parameters
1;"=""Zámky""";1;1,2,3,4,12,13,14,15,16,29,35,36,39
2;"=""Kolečka, nožky a kluzáky""";1;1,4,5,6,7,8,9,10,11,16,19,20,29,30,31,33
3;"=""Kování na sklo""";1;1,4,14,16,17,18,27,29,34,39
5;"=""Kování pro WC boxy""";1;4,16,29
6;"=""Spoje""";1;1,4,14,16,20,21,25,29,30,38
7;"=""Závěsy do masivu""";1;1,4,16,24,29
8;"=""Průchodky""";1;4,16,27,29,32,39
9;"=""Zahradní nábytek""";1;4,16,29
10;"=""Příslušenství pro stoly""";1;4,16,21,25,29,34,38
11;"=""Výsuvy""";1;4,16,22,29
12;"=""Rohové plechy""";1;4,16,29
13;"=""Ostatní doplňky""";1;4,16,23,27,29,32
14;"=""Postelové kování""";1;4,16,29
15;"=""Koupelnové doplňky""";1;4,16,29
16;"=""Úchytky""";1;4,16,26,27,29
